	filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
28	FRA0311_Aimard	FRA0311	Aimard, Gustave	Belle rivière : ELTeC edition	1818	1883	M	viaf:9841962	NA	1874	viaf:309355943	long	low	T2	139255	fra
58	FRA0302_Aimard	FRA0302	Aimard, Gustave	Les Trappeurs de l'Arkansas : ELTeC edition	1818	1883	M	viaf:9841962	NA	1858	viaf:309322317	medium	low	T1	90166	fra
26	FRA0322_Allais	FRA0322	Allais, Alphone	Le Captain Cap : ELTeC edition	1829	1871	M	viaf:302147306	NA	1902	viaf:missing	short	high	T4	38400	fra
40	FRA0206_Audoux	FRA0206	Audoux, Marguerite	Marie-Claire : ELTeC edition	1863	1937	F	viaf:71386673	NA	1910	viaf:missing	short	high	T4	35659	fra
42	FRA0570_Balzac	FRA0570	Balzac, Honoré de	Le cousin Pons : ELTeC edition	1799	1850	M	viaf:29529595	NA	1847	viaf:174988989	long	high	T1	111047	fra
50	FRA0572_Balzac	FRA0572	Balzac, Honoré de	Le curé de village : ELTeC edition	1799	1850	M	viaf:29529595	NA	1841	viaf:177407570	medium	high	T1	93200	fra
51	FRA0562_Balzac	FRA0562	Balzac, Honoré de	Albert Savarus : ELTeC edition	1799	1850	M	viaf:29529595	NA	1842	viaf:174178728	short	high	T1	42271	fra
7	FRA1184_Boisgobey	FRA1184	Boisgobey, Fortuné du	Rubis sur l'ongle : ELTeC edition	1821	1891	M	viaf:19720225	NA	1886	viaf:315021495	long	low	T3	104131	fra
46	FRA1005_Boisgobey	FRA1005	Boisgobey, Fortuné du	Le crime de l'omnibus : ELTeC edition	1821	1891	M	viaf:19720225	NA	1881	viaf:308091446	medium	low	T3	93657	fra
54	FRA0020_Daudet	FRA0020	Daudet, Alphonse	Le petit chose : ELTeC edition	1840	1897	M	viaf:4928621	NA	1867	viaf:184784857	medium	high	T2	87744	fra
56	FRA0019_Daudet	FRA0019	Daudet, Alphonse	Numa Roumestan : Mœurs Parisiennes : ELTeC edition	1840	1897	M	viaf:4928621	NA	1881	viaf:287900644	medium	low	T3	85692	fra
47	FRA0021_Daudet	FRA0021	Daudet, Alphonse	Port-Tarascon : Dernières aventures de l'illustre Tartarin : ELTeC edition	1840	1897	M	viaf:4928621	NA	1890	viaf:179981155	short	low	T3	46932	fra
70	FRA0343_Dombre	FRA0343	Dombre, Roger	Une pupille gênante : ELTeC edition	1859	1914	F	viaf:37053113	NA	1890	oclc:457908349 viaf:unavailable	medium	low	T3	50336	fra
44	FRA0344_Dombre	FRA0344	Dombre, Roger	Folla : ELTeC edition	1859	1914	F	viaf:37053113	NA	1889	oclc:465119441 viaf:unavailable	short	low	T3	24998	fra
35	FRA0037_Erckmann	FRA0037	Erckmann, Émile	Madame Thérèse, ou les volontaires de 92 : ELTeC edition	1822	1899	M	viaf:31995972	NA	1863	viaf:209896303	medium	high	T2	58842	fra
