corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra	FRA03704_Sand	FRA03704	Sand, George [Amantine Lucile Aurore Dupin]	Horace	1804	1876	F	viaf:46766944 wikidata:Q3816	1840	1840	NA	1854	Computational Literary Genre Stylistics (CLiGS)	viaf:309259313 wikidata:Q40125295	fr	133214	NA	homodiegetic	long	high	T1
ELTeC-fra	FRA00801_Dash	FRA00801	Dash, Comtesse [Gabrielle Anna de Cisternes de Courtiras, vicomtesse de Saint-Mars]	Le château de Pinon I	1804	1872	F	viaf:102278 wikidata:missing	1843	1843	2009	1843	Gallica (BnF)	viaf:missing wikidata:missing	fr	45263	NA	heterodiegetic	short	low	T1
ELTeC-fra	FRA01801_Gay	FRA01801	Gay, Marie Françoise Sophie	Ellenore	1776	1852	F	viaf:27059297 wikidata:Q273200	1844	1844	2006	1864	Project Gutenberg	viaf:unavailable wikidata:missing	fr	188983	NA	homodiegetic	long	low	T1
ELTeC-fra	FRA04901_Dumas	FRA04901	Dumas, Alexandre [Dumas père]	Reine Margot	1802	1870	M	viaf:51688902 wikidata:Q38337	1845	1845	NA	1845	Atramenta	viaf:181806192 wikidata:Q2020094	fr	217375	historical	heterodiegetic	long	high	T1
ELTeC-fra	FRA06201_Viel-Castel	FRA06201	Viel-Castel, Horace de	Archambaud de Comborn	1802	1864	M	viaf:69051610 wikidata:Q3140481	1845	1845	NA	1845	Gallica (BnF)	viaf:missing wikidata:missing	fr	50642	NA	mixed	medium	low	T1
ELTeC-fra	FRA01203_Feval	FRA01203	Féval, Paul Henri Corentin [dit Paul Féval père]	le Loup blanc	1816	1887	M	viaf:17222447 wikidata:Q472568	1845	1845	NA	1883	Ebooks libres et gratuits	viaf:644145424532886830955 wikidata:Q3224087	fr	80201	NA	heterodiegetic	medium	high	T1
ELTeC-fra	FRA03802_Stern	FRA03802	Stern, Daniel [Marie d'Agoult]	Nélida	1805	1876	F	viaf:186930001 wikidata:Q253453	1846	1846	2008	1866	Project Gutenberg	viaf:312334146 wikidata:Q7071424	fr	70592	NA	heterodiegetic	medium	low	T1
ELTeC-fra	FRA04301_Achard	FRA04301	Achard, Amédée	Belle-Rose	1814	1875	M	viaf:22137477 wikidata:Q482162	1847	1847	NA	1847	Bibebook	viaf:missing wikidata:Q2894684	fr	179332	historical	heterodiegetic	long	high	T1
ELTeC-fra	FRA01701_GautierT	FRA01701	Gautier, Théophile	Militona	1800	1872	M	viaf:96428598 wikidata:Q183713	1847	1847	2007	1860	Wikisource	viaf:1210145857084622921707 wikidata:Q16664539	fr	40222	NA	heterodiegetic	short	high	T1
ELTeC-fra	FRA06101_Sandeau	FRA06101	Sandeau, Jules	Mademoiselle de la Seiglière	1811	1883	M	viaf:56616138 wikidata:Q609039	1848	1848	NA	1847	Project Gutenberg	viaf:599145424534886831258 wikidata:Q28496738	fr	62501	NA	heterodiegetic	medium	high	T1
ELTeC-fra	FRA05401_Kock	FRA05401	Kock, Paul de	Madeleine	1793	1871	M	viaf:100183137 wikidata:Q982058	1849	1849	NA	1850	Project Gutenberg	viaf:missing wikidata:missing	fr	99323	NA	homodiegetic	medium	high	T1
ELTeC-fra	FRA03101_Ponson	FRA03101	Ponson du Terrail, Pierre Alexis	La baronne trépassée	1829	1871	M	viaf:17228199 wikidata:Q2595750	1852	1852	NA	1853	Computational Literary Genre Stylistics (CLiGS)	viaf:missing wikidata:missing	fr	68667	NA	heterodiegetic	medium	high	T1
ELTeC-fra	FRA00701_Carraud	FRA00701	Carraud, Zulma	La petite Jeanne	1796	1889	F	viaf:66529196 wikidata:Q2030046	1852	1852	2006	1884	Project Gutenberg	viaf:missing wikidata:missing	fr	53860	NA	heterodiegetic	medium	high	T1
ELTeC-fra	FRA07301_Valgand	FRA07301	NA	Blondine, roman nouveau	NA	NA	F	viaf:(inexistent)	1853	1853	2009	1853	Gallica (BnF)	viaf:missing wikidata:missing	fr	49025	NA	heterodiegetic	short	low	T1
ELTeC-fra	FRA00502_Balzac	FRA00502	Balzac, Honoré de	Le cousin Pons	1799	1850	M	viaf:29529595 wikidata:Q9711	1853	1851-1853	2014	1842-1848	Éfélé	viaf:305992935 wikidata:Q2699195	fr	111052	NA	heterodiegetic	long	high	T1
ELTeC-fra	FRA00501_Balzac	FRA00501	Balzac, Honoré de	Albert Savarus	1799	1850	M	viaf:29529595 wikidata:Q9711	1853	1853	2014	1842	Éfélé	viaf:174178728 wikidata:Q2740921	fr	42274	NA	heterodiegetic	short	high	T1
ELTeC-fra	FRA00503_Balzac	FRA00503	Balzac, Honoré de	Le curé de village	1799	1850	M	viaf:29529595 wikidata:Q9711	1854	1854	2014	1842-1848	Éfélé	viaf:177407570 wikidata:Q2718088	fr	93205	NA	heterodiegetic	medium	high	T1
ELTeC-fra	FRA02101_Girardin	FRA02101	Girardin, Delphine de [Delphine Gay]	Marguerite, ou Deux amours	1804	1855	F	viaf:24601979 wikidata:Q437094	1854	1854	2013-04-11	1859	Bibliothèque numérique romande (BNR)	viaf:missing wikidata:missing	fr	69231	NA	heterodiegetic	medium	high	T1
ELTeC-fra	FRA03401_Reybaud	FRA03401	Reybaud, Fanny [Hippolyte Arnaud]	Mademoiselle de Malepeire	1802	1871	F	viaf:36959845 wikidata:missing	1855	1855	2014-02-20	1856	Bibliothèque numérique romande (BNR)	viaf:8593149296215580670003 wikidata:missing	fr	38804	NA	homodiegetic	short	high	T1
ELTeC-fra	FRA05201_Feuillet	FRA05201	Feuillet, Octave	La petite Comtesse	1821	1890	M	viaf:68928998 wikidata:Q1091989	1856	1856	NA	1869	Bibebook	viaf:missing wikidata:Q17360873	fr	31143	NA	autodiegetic	short	low	T1
ELTeC-fra	FRA07101_Blondel	FRA07101	Blondel, Adèle	Élise, ou l'éducation particulière	1841	1909	F	viaf:301138355 wikidata:missing	1856	1856	2009	1856	BnF	viaf:missing wikidata:missing	fr	42483	NA	heterodiegetic	short	low	T1
ELTeC-fra	FRA01202_Feval	FRA01202	Féval, Paul Henri Corentin [dit Paul Féval père]	Les Errants de nuit	1816	1887	M	viaf:17222447 wikidata:Q472568	1857	1857	NA	1880	Ebooks libres et gratuits	viaf:unavailable wikidata:missing	fr	103086	NA	heterodiegetic	long	low	T1
ELTeC-fra	FRA05702_Maquet	FRA05702	Maquet, Auguste	La Maison du baigneur	1812	1888	M	viaf:62618234 wikidata:Q766768	1857	1857	2010-05-04	1875	Gallica (BnF)	viaf:missing wikidata:missing	fr	177144	historical novel	heterodiegetic	long	low	T1
ELTeC-fra	FRA01302_Flaubert	FRA01302	Flaubert, Gustave	Madame Bovary	1821	1880	M	viaf:9846192 wikidata:Q43444	1857	1857	2012	1857	Ebooks libres et gratuits	viaf:186570439 wikidata:Q193417	fr	120122	NA	heterodiegetic	long	high	T1
ELTeC-fra	FRA00301_Aimard	FRA00301	Aimard, Gustave	Les Trappeurs de l'Arkansas	1818	1883	M	viaf:9841962 wikidata:Q472068	1858	1858	2005	NA	Bibliothèque électronique du Québec (BEQ)	viaf:309322317 wikidata:Q19214045	fr	90276	NA	heterodiegetic	medium	low	T1
ELTeC-fra	FRA00101_Adam	FRA00101	Adam, Juliette	Mon Village	1836	1936	F	viaf:64000638 wikidata:Q270617	1860	1860	2019	1868	Wikisource	viaf:inexistent wikidata:inexistent	fr	21636	NA	homodiegetic	short	low	T2
ELTeC-fra	FRA06801_Vaillant	FRA06801	Vaillant, Victor	L'Elzévir de maroquin rouge	1815	1885	M	viaf:51823427	1861	1861	2013	1861	Gallica (BnF)	viaf:missing wikidata:missing	fr	73552	tbc	heterodiegetic	medium	low	T2
ELTeC-fra	FRA01303_Flaubert	FRA01303	Flaubert, Gustave	Salammbô	1821	1880	M	viaf:9846192 wikidata:Q43444	1862	1862	NA	1863	Wikisource	viaf:176014945 wikidata:Q117182	fr	105395	NA	heterodiegetic	long	high	T2
ELTeC-fra	FRA04102_Erckmann	FRA04102	Erckmann, Émile	Madame Thérèse, ou les volontaires de 92	1822	1899	M	viaf:31995972 wikidata:Q3246593	1863	1863	2007	1879	Bibliothèque électronique du Québec (BEQ)	viaf:209896303 wikidata:missing	fr	61525	NA	autodiegetic	medium	high	T2
ELTeC-fra	FRA03302_Rattazzi	FRA03302	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse]	Le piège aux maris	1831	1902	F	viaf:30341384 wikidata:Q3292106	1865	1865	2012	1865	Bibliothèque numérique romande	viaf:missing wikidata:missing	fra	53880	NA	heterodiegetic	medium	low	T2
ELTeC-fra	FRA02202_Gouraud	FRA02202	Gouraud, Julie [Louise d'Aulnay]	Le petit colporteur	1810	1891	M	viaf:31987653 wikidata:Q18115130	1867	1867	NA	1867	Bibliothèque électronique du Québec (BEQ)	viaf:314022921 wikidata:missing	fr	43357	NA	heterodiegetic	short	low	T2
ELTeC-fra	FRA03702_Sand	FRA03702	Sand, George [Amantine Lucile Aurore Dupin]	Le dernier amour	1804	1876	F	viaf:46766944 wikidata:Q3816	1867	1867	NA	1882	Bibliothèque électronique du Québec (BEQ)	viaf:1327145424598486831029 wikidata:Q19194266	fr	88169	NA	autodiegetic	medium	high	T2
ELTeC-fra	FRA01201_Feval	FRA01201	Féval, Paul Henri Corentin [dit Paul Féval père]	Le Cavalier Fortune	1816	1887	M	viaf:17222447 wikidata:Q472568	1868	1868	NA	NA	Ebooks libres et gratuits	viaf:unavailable wikidata:missing	fr	136999	NA	heterodiegetic	long	low	T2
ELTeC-fra	FRA00901_Daudet	FRA00901	Daudet, Alphonse	Le petit chose	1840	1897	M	viaf:4928621 wikidata:Q228546	1868	1868	2004	1930	Ebooks libres et gratuits	viaf:184784857 wikidata:Q1057575	fr	87744	NA	autodiegetic	medium	high	T2
ELTeC-fra	FRA02601_Malot	FRA02601	Malot, Hector	Romain Kalbris	1830	1907	M	viaf:49228546 wikidata:Q315003	1869	1869	NA	1884	Bibliothèque électronique du Québec (BEQ)	viaf:312349317 wikidata:Q21426780	fr	70236	NA	autodiegetic	medium	high	T2
ELTeC-fra	FRA01902_Gaboriau	FRA01902	Gaboriau, Émile	Monsieur Lecoq	1832	1873	M	viaf:100177491 wikidata:Q463513	1869	1869	NA	1884	Ebooks libres et gratuits	viaf:265154387507630970001 wikidata:Q6902552	fr	269763	NA	heterodiegetic	long	high	T2
ELTeC-fra	FRA01301_Flaubert	FRA01301	Flaubert, Gustave	L'Éducation sentimentale	1821	1880	M	viaf:9846192 wikidata:Q43444	1870	1869-1870	NA	1880	(unspecified)	viaf:180462896 wikidata:missing	fr	149810	NA	heterodiegetic	long	high	T2
