	total_counts	canon_counts	canon_status	author	title
FRA00101	4	1	low	Adam, Juliette 	Mon Village : ELTeC edition
FRA00102	6	0	low	Adam, Juliette 	Païenne : ELTeC edition
FRA00201	22	7	high	Audoux, Marguerite 	Marie-Claire : ELTeC edition
FRA00301	23	1	low	Aimard, Gustave 	Les Trappeurs de l'Arkansas : ELTeC edition
FRA00302	11	1	low	Aimard, Gustave 	Belle rivière : ELTeC edition
FRA00401	16	0	low	Allais, Alphone 	Le Captain Cap : ELTeC edition
FRA00501	150	17	high	Balzac, Honoré de 	Albert Savarus : ELTeC edition
FRA00502	222	27	high	Balzac, Honoré de 	Le cousin Pons : ELTeC edition
FRA00503	192	18	high	Balzac, Honoré de 	Le curé de village : ELTeC edition
FRA00601	2	0	low	Boisgobey, Fortuné du 	Le crime de l'omnibus : ELTeC edition
FRA00602	3	0	low	Boisgobey, Fortuné du 	Rubis sur l'ongle : ELTeC edition
FRA00701	12	0	low	Carraud, Zulma 	La petite Jeanne : ELTeC edition
FRA00801	0	0	low	Comtesse Dash [Gabrielle Anna de Cisternes de Courtiras, vicomtesse de Saint-Mars] 	Le château de Pinon I : ELTeC edition
FRA00901	151	31	high	Daudet, Alphonse 	Le petit chose : ELTeC edition
FRA00903	89	9	high	Daudet, Alphonse 	Numa Roumestan : Mœurs Parisiennes : ELTeC edition
FRA01001	2	0	low	Delarue-Mardrus, Lucie 	Comme tout le monde : ELTeC edition
FRA01002	1	0	low	Delarue-Mardrus, Lucie 	Toutoune et son amour : ELTeC edition
FRA01101	4	0	low	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] 	Une pupille gênante : ELTeC edition
FRA01102	3	0	low	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] 	Folla : ELTeC edition
FRA01201	6	1	low	Féval, Paul Henri Corentin [dit Paul Féval père] 	Le Cavalier Fortune : ELTeC edition
FRA01202	16	0	low	Féval, Paul Henri Corentin [dit Paul Féval père] 	Les Errants de nuit : ELTeC edition
FRA01203	20	7	high	Féval, Paul Henri Corentin [dit Paul Féval père] 	le Loup blanc : ELTeC edition
FRA01301	369	115	high	Flaubert, Gustave 	L'Éducation sentimentale : ELTeC edition
FRA01302	560	158	high	Flaubert, Gustave 	Madame Bovary : ELTeC edition
FRA01303	260	56	high	Flaubert, Gustave 	Salammbô : ELTeC edition
