xmlid	au-name	au-gender	title	firsted-yr	reprintCount	tr-lang	tr-year	tr-url
FRA00101	Adam, Juliette	f	Mon Village	1860	low	eng	1859?	https://www.worldcat.org/oclc/561638609
FRA00102	Adam, Juliette	f	Païenne	1883	low	N/A	N/A	N/A
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	nld	1911	http://www.worldcat.org/oclc/65000694
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	rus	1911	http://www.worldcat.org/oclc/823602963
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	fin	1911	http://www.worldcat.org/oclc/58255750
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	spa	1911	http://www.worldcat.org/oclc/15157858
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	deu	1911	http://www.worldcat.org/oclc/163275505
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	hun	1911	http://www.worldcat.org/oclc/1043072793
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	ces	1911	http://www.worldcat.org/oclc/723191397
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	dan	1911	http://www.worldcat.org/oclc/1163583195
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	eng	1912	http://www.worldcat.org/oclc/557348578
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	ita	1943	http://www.worldcat.org/oclc/878532535
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	jap	1943	http://www.worldcat.org/oclc/33677494
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	swe	1949	http://www.worldcat.org/oclc/186488397
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	slv	1962	http://www.worldcat.org/oclc/455633178
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	hun	1969	http://www.worldcat.org/oclc/907517612
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	hun	1969	http://www.worldcat.org/oclc/1014918895
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	pol	1978	http://www.worldcat.org/oclc/233494756
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	zh	1981	http://www.worldcat.org/oclc/298738341
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	nob	1991	http://www.worldcat.org/oclc/1028288737
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	deu	1992	http://www.worldcat.org/oclc/75254838
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	ara	2011	http://www.worldcat.org/oclc/1158855554
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	ita	2015	http://www.worldcat.org/oclc/1153192778
FRA00201	Audoux, Marguerite	f	Marie-Claire	1910	high	kor	2019	http://www.worldcat.org/oclc/1128658426
FRA00301	Aimard, Gustave	m	Les Trappeurs de l'Arkansas	1858	low	eng	2011	https://www.worldcat.org/oclc/941800950
FRA00301	Aimard, Gustave	m	Los tramperos de Arkansas	1858	low	spa	1942	https://www.worldcat.org/oclc/932451553
FRA00301	Aimard, Gustave	m	Die Trapper in Arkansas	1858	low	deu	2013	https://www.worldcat.org/oclc/846955233
FRA00302	Aimard, Gustave	m	Belle rivière	1894	low	swe	1897	https://www.worldcat.org/oclc/62371352
FRA00401	Allais, Alphone	m	Le Captain Cap	1902	high	N/A	N/A	N/A
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	eng	2019	https://www.worldcat.org/oclc/1142880010
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	deu	1998	https://www.worldcat.org/oclc/75952946
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	ita	2017	https://www.worldcat.org/oclc/1020117958
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	ces	1927	https://www.worldcat.org/oclc/45803091
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	pol	1957	https://www.worldcat.org/oclc/750005315
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	spa	1999	https://www.worldcat.org/oclc/70151773
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	chi	2002	https://www.worldcat.org/oclc/56136285
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	ell	1999	https://www.worldcat.org/oclc/271873900
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	ron	1909	https://www.worldcat.org/oclc/1178977871
FRA00501	Balzac, Honoré de	m	Albert Savarus	1853	high	hun	1978	https://www.worldcat.org/oclc/1132608744
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	eng	2019	https://www.worldcat.org/oclc/1122460124
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	deu	1998	https://www.worldcat.org/oclc/75953086
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	chi	1998	https://www.worldcat.org/oclc/953368765
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	ita	1954	https://www.worldcat.org/oclc/797817226
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	spa	1979	https://www.worldcat.org/oclc/24705113
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	hrv	1960	https://www.worldcat.org/oclc/456190930
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	jpn	N/A	https://www.worldcat.org/oclc/959618839
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	pol	2009	https://www.worldcat.org/oclc/751335390
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	tur	1990	https://www.worldcat.org/oclc/51718817
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	ces	1950	https://www.worldcat.org/oclc/458602588
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	heb	1981	https://www.worldcat.org/oclc/20068577
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	hun	1962	https://www.worldcat.org/oclc/1081559363
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	rus	1959	https://www.worldcat.org/oclc/434301438
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	slv	1983	https://www.worldcat.org/oclc/438741058
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	swe	1974	https://www.worldcat.org/oclc/462044283
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	alb	1975	https://www.worldcat.org/oclc/938870996
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	cat	2003	https://www.worldcat.org/oclc/806374217
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	fin	1980	https://www.worldcat.org/oclc/57770279
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	glg	2012	https://www.worldcat.org/oclc/828372346
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	kor	2018	https://www.worldcat.org/oclc/1077436714
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	ell	198-	https://www.worldcat.org/oclc/221064843
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	mac	1972	https://www.worldcat.org/oclc/276704566
FRA00502	Balzac, Honoré de	m	Le cousin Pons	1851-1853	high	ukr	1929	https://www.worldcat.org/oclc/24811585
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	eng	1901	https://www.worldcat.org/oclc/37359394
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	deu	1968	https://www.worldcat.org/oclc/80733718
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	spa	2003	https://www.worldcat.org/oclc/698447859
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	tur	1952	https://www.worldcat.org/oclc/282134688
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	hun	1958	https://www.worldcat.org/oclc/637222019
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	ara	N/A	https://www.worldcat.org/oclc/1103862888
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	chi	1999	https://www.worldcat.org/oclc/170199448
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	ita	1943	https://www.worldcat.org/oclc/252283392
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	dan	1961	https://www.worldcat.org/oclc/1135723325
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	jpn	1935	https://www.worldcat.org/oclc/33746535
FRA00503	Balzac, Honoré de	m	Le curé de village	1854	high	swe	1975	https://www.worldcat.org/oclc/185794948
FRA00601	Boisgobey, Fortuné du	m	Le crime de l'omnibus	1881	low	eng	2010	https://www.worldcat.org/oclc/847539538
FRA00601	Boisgobey, Fortuné du	m	Le crime de l'omnibus	1881	low	arm	1899	https://www.worldcat.org/oclc/23045222
FRA00601	Boisgobey, Fortuné du	m	Le crime de l'omnibus	1881	low	deu	1900	https://www.worldcat.org/oclc/1002229145
