,birth,death,filename,name,viaf,xmlid
0,1822-05-21,1899-03-14,rd0037,Émile Erckmann,31995972,FR0037
1,1840-05-13,1897-12-16,rd0020,Alphonse Daudet,4928621,FR0020
2,1859,1914,rd0344,Roger Dombre,37053113,FR0344
3,1829-10-28,1890-12-19,rd0350,Zénaïde Fleuriot,41872490,FR0350
4,1804-07-01,1876-06-08,rd0445,George Sand,46766944,FR0445
5,NA,NA,rd0476,"Stolz, Madame de",79158042,FR0476
6,1810,1891,rd0379,Julie Gouraud,31987653,FR0379
7,1848-02-16,1917-02-16,rd0426,Octave Mirbeau,100204602,FR0426
8,1830-05-20,1907-07-17,rd0410,Hector Malot,49228546,FR0410
9,1859,1914,rd0343,Roger Dombre,37053113,FR0343
10,1840-05-13,1897-12-16,rd0021,Alphonse Daudet,4928621,FR0021
11,1848-02-16,1917-02-16,rd0144,Octave Mirbeau,100204602,FR0144
12,NA,NA,rv0702,NA,author,FR0702
13,1832-11-09,1873-09-28,rd1158,Émile Gaboriau,100177491,FR1158
14,1850-08-05,1893-07-06,rd0053,Guy de Maupassant,29537765,FR0053
15,1821-12-12,1880-05-08,rd0042,Gustave Flaubert,9846192,FR0042
16,1848-02-16,1917-02-16,rd0148,Octave Mirbeau,100204602,FR0148
17,NA,NA,rv0326,NA,NA,FR0326
18,1818-09-13,1883-06-20,rd0302,Gustave Aimard,9841962,FR0302
19,1850-08-05,1893-07-06,rd0052,Guy de Maupassant,29537765,FR0052
20,1850-01-14,1923-06-10,rd0047,Pierre Loti,89440078,FR0047
21,1799-05-20,1850-08-18,rd0570,Honoré de Balzac,29529595,FR0570
22,1848-04-03,1918-05-06,rd0658,Georges Ohnet,66497284,FR0658
23,1817-09-30,1887-03-08,rd0607,Paul Féval,17222447,FR0607
24,1830-05-20,1907-07-17,rd0409,Hector Malot,49228546,FR0409
25,NA,NA,rv0853,NA,author,FR0853
26,NA,NA,rv0712,NA,author,FR0712
27,NA,NA,rv0775,NA,author,FR0775
28,1829-07-08,1871-01-10,rd0012,Pierre Alexis de Ponson du Terrail,17228199,FR0012
29,NA,NA,rv0780,NA,author,FR0780
30,1818-09-13,1883-06-20,rd0311,Gustave Aimard,9841962,FR0311
31,NA,NA,rv0397,NA,NA,FR0397
32,1848-04-03,1918-05-06,rd0657,Georges Ohnet,66497284,FR0657
33,1828-02-08,1905-03-24,rd0086,Jules Verne,76323989,FR0086
34,1821-12-12,1880-05-08,rd0041,Gustave Flaubert,9846192,FR0041
35,NA,NA,rv0584,NA,NA,FR0584
36,1832-11-09,1873-09-28,rd1155,Émile Gaboriau,100177491,FR1155
37,1829-10-28,1890-12-19,rd0347,Zénaïde Fleuriot,41872490,FR0347
38,1817-09-30,1887-03-08,rd0615,Paul Féval,17222447,FR0615
39,1799-05-20,1850-08-18,rd0562,Honoré de Balzac,29529595,FR0562
40,1821-09-11,1891-02-26,rd1184,Fortuné Du Boisgobey,19720225,FR1184
41,1810,1891,rd0369,Julie Gouraud,31987653,FR0369
42,NA,NA,rd0482,"Stolz, Madame de",79158042,FR0482
43,1804-07-01,1876-06-08,rd0474,George Sand,46766944,FR0474
44,1821-09-11,1891-02-26,rd1003,Fortuné Du Boisgobey,19720225,FR1003
45,NA,NA,rd1177,NA,NA,FR1177
46,NA,NA,rv0771,NA,author,FR0771
47,1848-04-03,1918-05-06,rd0656,Georges Ohnet,66497284,FR0656
48,NA,NA,rv0708,NA,author,FR0708
49,1840-05-13,1897-12-16,rd0019,Alphonse Daudet,4928621,FR0019
50,1804-07-01,1876-06-08,rd0458,George Sand,46766944,FR0458
51,1821-12-12,1880-05-08,rd0040,Gustave Flaubert,9846192,FR0040
52,1859,1914,rd0345,Roger Dombre,37053113,FR0345
53,1828-02-08,1905-03-24,rd0087,Jules Verne,76323989,FR0087
54,NA,NA,rv0578,NA,NA,FR0578
55,1822-05-21,1899-03-14,rd0027,Émile Erckmann,31995972,FR0027
56,NA,NA,rv0581,NA,NA,FR0581
57,1829-07-08,1871-01-10,rd0010,Pierre Alexis de Ponson du Terrail,17228199,FR0010
58,1776-07-01,1852-03-05,rd0727,Sophie Gay,27059297,FR0727
59,1822-05-21,1899-03-14,rd0038,Émile Erckmann,31995972,FR0038
60,NA,NA,rv0384,NA,NA,FR0384
61,1817-09-30,1887-03-08,rd0605,Paul Féval,17222447,FR0605
62,1850-01-14,1923-06-10,rd0049,Pierre Loti,89440078,FR0049
63,NA,NA,rv0851,NA,author,FR0851
64,1830-05-20,1907-07-17,rd0415,Hector Malot,49228546,FR0415
65,1850-08-05,1893-07-06,rd0056,Guy de Maupassant,29537765,FR0056
66,1818-09-13,1883-06-20,rd0301,Gustave Aimard,9841962,FR0301
67,NA,NA,rv0338,NA,NA,FR0338
68,NA,NA,rv0392,NA,NA,FR0392
69,1821-09-11,1891-02-26,rd1005,Fortuné Du Boisgobey,19720225,FR1005
70,1850-01-14,1923-06-10,rd0043,Pierre Loti,89440078,FR0043
71,1828-02-08,1905-03-24,rd0175,Jules Verne,76323989,FR0175
72,1810,1891,rd0370,Julie Gouraud,31987653,FR0370
73,1832-11-09,1873-09-28,rd1021,Émile Gaboriau,100177491,FR1021
74,1776-07-01,1852-03-05,rd0726,Sophie Gay,27059297,FR0726
75,NA,NA,rd0480,"Stolz, Madame de",79158042,FR0480
76,1829-10-28,1890-12-19,rd0348,Zénaïde Fleuriot,41872490,FR0348
77,NA,NA,rv0852,NA,author,FR0852
78,1799-05-20,1850-08-18,rd0572,Honoré de Balzac,29529595,FR0572
