,filename,xmlid,au-name,title,au-birth,au-death,au-gender,au-ids,first-ed,title-ids,sizeCat,canonicity,time-slot,numwords,language
0,Ponson_Baronne-FR0010,FR0010,"Ponson du Terrail, Pierre Alexis ",La baronne trépassée : ELTeC edition,1829,1871,M,viaf:17228199,1852,viaf:missing,medium,medium,T1,61779,fra
1,rd0037,FR0037,"Erckmann, Émile ","Madame Thérèse, ou les volontaires de 92 : ELTeC edition",1822,1899,M,viaf:31995972,1863,viaf:209896303,medium,medium,T2,58842,fra
2,rd0020,FR0020,"Daudet, Alphonse ",Le petit chose : ELTeC edition,1840,1897,M,viaf:4928621,1867,viaf:184784857,medium,medium,T2,87744,fra
3,rd0344,FR0344,"Dombre, Roger ",Folla : ELTeC edition,1859,1914,F,viaf:37053113,1889,NA,short,medium,T3,24998,fra
4,rd0350,FR0350,"Fleuriot, Zénaïde ",Alberte : ELTeC edition,1829,1890,F,viaf:41872490,1881,viaf:unavailable worldcat:944664084,medium,medium,T3,64184,fra
5,rd0445,FR0445,"Sand, George ",Nanon : ELTeC edition,1804,1876,F,viaf:46766944,1872,viaf:204615801,long,medium,T2,101840,fra
6,rd0476,FR0476,"Stolz, Madame de ",La Maison roulante : ELTeC edition,1820,1898,F,viaf:19850120 wikidata:Q3275360,1869,viaf:309282062,medium,medium,T2,52092,fra
7,rd0379,FR0379,"Gouraud, Julie ",Le petit colporteur : ELTeC edition,1810,1891,M,viaf:31987653,1867,viaf:314022921,short,medium,T2,43343,fra
8,rd0426,FR0426,"Mirbeau, Octave ",La Maréchale : ELTeC edition,1848,1917,M,viaf:100204602,1883,NA,medium,medium,T3,60935,fra
9,rd0410,FR0410,"Malot, Hector ",Sans famille : ELTeC edition,1830,1907,M,viaf:49228546,1878,viaf:186540937,long,medium,T2,123735,fra
10,rd0343,FR0343,"Dombre, Roger ",Une pupille gênante : ELTeC edition,1859,1914,F,viaf:37053113,1890,NA,medium,medium,T3,50336,fra
11,rd0021,FR0021,"Daudet, Alphonse ",Port-Tarascon : Dernières aventures de l'illustre Tartarin : ELTeC edition,1840,1897,M,viaf:4928621,1890,viaf:179981155,short,medium,T3,46932,fra
12,rd0144,FR0144,"Mirbeau, Octave ",Le Jardin des supplices : ELTeC edition,1848,1917,M,viaf:100204602,1899,viaf:293386073,medium,medium,T3,64881,fra
13,rd1158,FR1158,"Gaboriau, Émile ",Monsieur Lecoq : ELTeC edition,1832,1873,M,viaf:100177491,1869,viaf:310914713,long,medium,T2,269763,fra
14,rd0053,FR0053,"Maupassant, Guy de ",Fort comme la mort : ELTeC edition,1850,1893,M,viaf:29537765,1889,viaf:191941628,medium,medium,T3,75586,fra
15,rd0042,FR0042,"Flaubert, Gustave ",Sallambô : ELTeC edition,1821,1880,M,viaf:9846192,1862,viaf:316310961,long,medium,T2,105395,fra
16,rd0148,FR0148,"Mirbeau, Octave ",L'abbé Jules : ELTeC edition,1848,1917,M,viaf:100204602,1888,viaf:310534644 ,medium,medium,T3,78132,fra
