cligs-id,author-name,book-title,subgenre,year,year-cat,canon-cat,gender-cat,length,length-cat,counter
rd0301,Aimard,BanditsArizona,blanche,1881,T3,tbc,male,72114,medium,1
rd0302,Aimard,TrappeursArkansas,blanche,1858,T1,tbc,male,90806,medium,1
rd0311,Aimard,BelleRiviere,blanche,1874,T2,tbc,male,139292,long,1
rd0562,Balzac,AlbertSavarus,blanche,1842,T1,high,male,42360,short,1
rd0572,Balzac,CureVillage,blanche,1841,T1,high,male,93296,medium,1
rd0570,Balzac,CousinPons,blanche,1847,T1,high,male,111058,long,1
rd1005,Boisgobey,Omnibus,policier,1881,T3,tbc,male,93646,medium,1
rd1184,Boisgobey,RubisOngle,policier,1886,T3,tbc,male,104114,long,1
rd1003,Boisgobey,DoubleBlanc,policier,1889,T3,tbc,male,125043,long,1
rd0021,Daudet,PortTarascon,blanche,1890,T3,high,male,47079,short,1
rd0019,Daudet,NumaRoumestan,blanche,1881,T3,high,male,85704,medium,1
rd0020,Daudet,PetitChose,blanche,1867,T2,high,male,87726,medium,1
rd0344,Dombre,Folla,blanche,1889,T3,high,female,24972,short,1
rd0345,Dombre,Nounou,blanche,1890,T3,tbc,female,40993,short,1
rd0343,Dombre,PupilleGenante,blanche,1890,T3,tbc,female,50310,medium,1
rd0027,ErckChat,CampagneKabylie,blanche,1873,T2,high,male,23471,short,1
rd0037,ErckChat,MadameTherese,blanche,1863,T2,tbc,male,61506,medium,1
rd0038,ErckChat,Waterloo,blanche,1865,T2,tbc,male,81293,medium,1
rd0615,FevalPP,LoupBlanc,blanche,1843,T1,tbc,male,80182,medium,1
rd0607,FevalPP,ErrantsNuit,policier,1857,T1,tbc,male,103066,long,1
rd0605,FevalPP,CavalierFortune,blanche,1868,T2,tbc,male,137054,long,1
rd0042,Flaubert,Sallambo,blanche,1862,T2,high,male,105372,long,1
rd0040,Flaubert,MadameBovary,blanche,1857,T1,high,male,120208,long,1
rd0041,Flaubert,Education,blanche,1869,T2,high,male,149786,long,1
rd0347,Fleuriot,EnfantGate,blanche,1877,T2,tbc,female,35051,short,1
rd0348,Fleuriot,Conge,blanche,1874,T2,tbc,female,37996,short,1
rd0350,Fleuriot,Alberte,blanche,1881,T3,tbc,female,64187,medium,1
rd1155,Gaboriau,CrimeOrcival,policier,1866,T2,tbc,male,127324,long,1
rd1021,Gaboriau,Argent,policier,1874,T2,tbc,male,173661,long,1
rd1158,Gaboriau,MonsieurLecoq,policier,1869,T2,high,male,269796,long,1
rd0726,Gay,Ellenore,blanche,1844,T1,tbc,female,188985,long,1
rd0379,Gouraud,PetitColporteur,blanche,1867,T2,tbc,male,43332,short,1
rd0370,Gouraud,FillesProfesseur,blanche,1876,T2,tbc,male,45452,short,1
rd0369,Gouraud,QuandGrande,blanche,1888,T3,tbc,male,45681,short,1
rv0392,LeRouge,EsclaveAmoureuse,blanche,1904,T4,tbc,male,25010,short,1
rv0384,LeRouge,GuerreVampires,blanche,1909,T4,tbc,male,73442,medium,1
rv0397,LeRouge,Conspiration3,blanche,1900,T4,high,male,76645,medium,1
rd0043,Loti,Aziyade,blanche,1879,T2,high,male,54021,medium,1
rd0049,Loti,Ramuntcho,blanche,1897,T3,high,male,57953,medium,1
rd0047,Loti,MonFrereYves,blanche,1883,T3,tbc,male,73673,medium,1
rd0409,Malot,RomainKalbris,blanche,1869,T2,tbc,male,71282,medium,1
rd0415,Malot,Conscience,blanche,1888,T3,tbc,male,105729,long,1
rd0410,Malot,SansFamille,blanche,1878,T2,tbc,male,123710,long,1
rd0053,Maupassant,FortMort,blanche,1889,T3,high,male,75569,medium,1
rd0056,Maupassant,UneVie,blanche,1883,T3,high,male,77319,medium,1
rd0052,Maupassant,BelAmi,blanche,1885,T3,high,male,111166,long,1
rd0426,Mirbeau,Marechale,blanche,1883,T3,high,male,61133,medium,1
rd0144,Mirbeau,JardinSupplices,blanche,1899,T3,high,male,64890,medium,1
rd0148,Mirbeau,AbbeJules,blanche,1888,T3,high,male,78129,medium,1
rd0658,Ohnet,MarchandPoison,blanche,1894,T4,tbc,male,50548,medium,1
rd0657,Ohnet,AmePierre,blanche,1890,T3,tbc,male,53357,medium,1
rd0656,Ohnet,GrandeMarnière,blanche,1885,T3,tbc,male,115258,long,1
rd0012,Ponson,FéeAuteuil,fantastique,1868,T2,tbc,male,65911,medium,1
rd0010,Ponson,Baronne,fantastique,1852,T1,tbc,male,68648,medium,1
rd1177,Ponson,ResurrectionRocambole2,policier,1866,T2,tbc,male,173747,long,1
rv0851,Proust,CoteSwann,blanche,1913,T4,high,male,181506,long,1
rv0771,Rolland,JeanChristophe01,blanche,1904,T4,high,male,41088,short,1
rv0780,Rolland,JeanChristophe10,blanche,1912,T4,high,male,60617,medium,1
rv0775,Rolland,JeanChristophe05,blanche,1908,T4,high,male,69889,medium,1
rd0458,Sand,DernierAmour,blanche,1866,T2,high,female,88153,medium,1
rd0474,Sand,Compagnon,blanche,1840,T1,high,female,89129,medium,1
rd0445,Sand,Nanon,blanche,1872,T2,high,female,101898,long,1
rd0482,Stolz,SecretLaurent,blanche,1878,T2,tbc,female,49123,short,1
rd0476,Stolz,MaisonRoulante,blanche,1869,T2,tbc,female,52065,medium,1
rd0480,Stolz,MaisonBlanche,blanche,1884,T3,tbc,female,52101,medium,1
rd0175,Verne,SecretStoritz,fantastique,1898,T3,high,male,55611,medium,1
rd0087,Verne,CapitaineQuinzeAns,blanche,1878,T2,high,male,125158,long,1
rd0086,Verne,CapitaineHatteras,blanche,1866,T2,high,male,144600,long,1
