id,year,year-cat,canon-cat,gender-cat,length,length-cat,counter
FRA00101,1868,T2,low,F,21636,short,1
FRA00102,1883,T3,low,F,29593,short,1
FRA00201,1910,T4,high,F,37171,short,1
FRA00301,1858,T1,low,M,90276,medium,1
FRA00302,1874,T2,low,M,139314,long,1
FRA00401,1902,T4,high,M,41424,short,1
FRA00501,1842,T1,high,M,42274,short,1
FRA00502,1847,T1,high,M,111052,long,1
FRA00503,1841,T1,high,M,93205,medium,1
FRA00601,1881,T3,low,M,93658,medium,1
FRA00602,1886,T3,low,M,104131,long,1
FRA00701,1852,T1,high,F,53860,medium,1
FRA00801,1843,T1,low,F,45263,short,1
FRA00901,1867,T2,high,M,87744,medium,1
FRA00903,1881,T3,low,M,85708,medium,1
FRA01001,1910,T4,low,F,62356,medium,1
FRA01002,1919,T4,low,F,35097,short,1
FRA01101,1890,T3,low,F,50336,medium,1
FRA01102,1889,T3,low,F,24998,short,1
FRA01201,1868,T2,low,M,136999,long,1
FRA01202,1857,T1,low,M,103086,long,1
FRA01203,1845,T1,high,M,80201,medium,1
FRA01301,1869,T2,high,M,149810,long,1
FRA01302,1857,T1,high,M,120122,long,1
FRA01303,1862,T2,high,M,105395,long,1
FRA01401,1877,T2,low,F,35076,short,1
FRA01402,1874,T2,low,F,38021,short,1
FRA01403,1881,T3,low,F,64213,medium,1
FRA01501,1912,T4,high,M,71994,medium,1
FRA01601,1887,T3,high,F,107267,long,1
FRA01602,1893,T3,low,F,51537,medium,1
FRA01603,1900,T4,high,F,29460,short,1
FRA01701,1847,T1,high,M,40222,short,1
FRA01702,1857,T1,high,M,59638,medium,1
FRA01801,1844,T1,low,F,188983,long,1
FRA01902,1869,T2,high,M,269763,long,1
FRA02001,1912,T4,low,M,21626,short,1
FRA02101,1852,T1,high,F,69231,medium,1
FRA02201,1888,T3,low,M,45701,short,1
FRA02202,1867,T2,low,M,43357,short,1
FRA02203,1876,T2,low,M,45477,short,1
FRA02301,1888,T3,low,F,60048,medium,1
FRA02302,1878,T2,low,F,56987,medium,1
FRA02303,1878,T2,low,F,52698,short,1
FRA02401,1904,T4,low,M,25038,short,1
FRA02501,1883,T3,high,M,73698,medium,1
FRA02502,1897,T3,high,M,57949,medium,1
FRA02601,1869,T2,high,M,70236,medium,1
FRA02602,1878,T2,high,M,123735,long,1
FRA02603,1888,T3,low,M,105754,long,1
FRA02701,1885,T3,high,M,111187,long,1
FRA02702,1883,T3,high,M,77338,medium,1
FRA02801,1888,T3,high,M,78137,medium,1
FRA02802,1883,T3,high,M,60951,medium,1
FRA02901,1903,T4,low,F,56757,medium,1
FRA03001,1885,T3,low,M,115270,long,1
FRA03002,1890,T3,low,M,53382,medium,1
FRA03003,1894,T3,low,M,50561,medium,1
FRA03101,1852,T1,high,M,68667,medium,1
FRA03102,1866,T2,low,M,173741,long,1
FRA03201,1887,T3,low,F,84121,medium,1
FRA03301,1866,T2,low,F,56517,medium,1
FRA03302,1865,T2,low,F,53880,medium,1
FRA03401,1855,T1,high,F,38804,short,1
FRA03601,1913,T4,high,M,181469,long,1
FRA03701,1872,T2,high,F,101919,long,1
FRA03702,1866,T2,high,F,88169,medium,1
FRA03703,1840,T1,unspecified,F,133214,long,1
FRA03801,1843,T1,low,F,16339,short,1
FRA03802,1846,T1,low,F,70592,medium,1
FRA03901,1869,T2,low,F,52092,medium,1
FRA03903,1878,T2,low,F,49150,short,1
FRA04001,1878,T2,high,M,125179,long,1
FRA04002,1898,T3,high,M,55614,medium,1
FRA04102,1863,T2,high,M,61525,medium,1
FRA04202,1912,T4,high,M,60263,medium,1
FRA04301,1847,T1,unspecified,M,179332,long,1
FRA04401,1916,T4,unspecified,M,119403,long,1
FRA04501,1909,T4,unspecified,M,31172,short,1
FRA04601,1907,T4,unspecified,M,88367,medium,1
FRA04701,1919,T4,unspecified,M,47202,short,1
FRA04801,1909,T4,unspecified,M,35151,short,1
FRA04901,1845,T1,unspecified,M,217375,long,1
FRA05101,1904,T4,unspecified,M,48550,short,1
FRA05201,1857,T1,unspecified,M,31143,short,1
FRA05301,1906,T4,unspecified,M,50310,short,1
FRA05401,1850,T1,unspecified,M,99323,medium,1
FRA05501,1910,T4,unspecified,M,47052,short,1
FRA05601,1909,T4,unspecified,F,67461,medium,1
FRA05602,1904,T4,unspecified,F,206089,long,1
FRA05702,1857,T1,low,M,177350,long,1
FRA05801,1912,T4,unspecified,M,49700,short,1
FRA05901,1907,T4,unspecified,M,78099,medium,1
FRA06001,1902,T4,unspecified,M,53060,medium,1
FRA06101,1848,T1,unspecified,M,62501,medium,1
FRA06201,1845,T1,unspecified,M,50642,medium,1
FRA06301,1884,T3,unspecified,M,145892,long,1
FRA06401,1876,T2,unspecified,F,157157,long,1
FRA06501,1897,T3,low,F,44196,short,1
FRA06601,1902,T4,unspecified,M,72697,medium,1
