filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
FRA00301_Aimard	FRA00301	Aimard, Gustave	Les Trappeurs de l'Arkansas	1818	1883	M	viaf:9841962	NA	1858	viaf:309322317	medium	low	T1	90166	fra
FRA01302_Flaubert	FRA01302	Flaubert, Gustave	Madame Bovary	1821	1880	M	viaf:9846192	NA	1857	viaf:186570439	long	high	T1	120122	fra
FRA02802_Mirbeau	FRA02802	Mirbeau, Octave	La Maréchale	1848	1917	M	viaf:100204602	NA	1883	viaf:unvailable	medium	high	T3	60935	fra
FRA03301_Rattazzi	FRA03301	Rattazzi, Marie	La Mexicaine	1831	1902	F	viaf:30341384	NA	1866	NA	medium	low	T2	56517	fra
FRA02501_Loti	FRA02501	Loti, Pierre	Mon frère Yves	1850	1923	M	viaf:89440078	NA	1883	viaf:294701732	medium	high	T3	73698	fra
FRA02602_Malot	FRA02602	Malot, Hector	Sans famille	1830	1907	M	viaf:49228546	NA	1878	viaf:186540937	long	high	T2	123735	fra
FRA02402_LeRouge	FRA02402	Le Rouge, Gustave	La Conspiration des Milliardaires	1867	1938	M	viaf:7392910	NA	1900	viaf:unavailable	medium	low	T4	76669	fra
FRA04002_Verne	FRA04002	Verne, Jules	Le Secret de Wilhelm Storitz	1828	1905	M	viaf:76323989	NA	1898	viaf:183647198	medium	high	T3	55614	fra
FRA01601_GautierJ	FRA01601	Gautier, Judith	La Sœur du Soleil	1845	1917	F	viaf:54148064	NA	1887	NA	medium	high	T3	104043	fra
FRA03901_Stolz	FRA03901	Stolz, Madame de	La Maison roulante	1820	1898	F	viaf:19850120 wikidata:Q3275360	NA	1869	viaf:309282062	medium	low	T2	52092	fra
FRA00401_Allais	FRA00401	Allais, Alphone	Le Captain Cap	1829	1871	M	viaf:302147306	NA	1902	viaf:missing	short	high	T4	38400	fra
