xmlid	basename	title	au-name
FRA0384	FRA0384_LeRouge	La Guerre des vampires : ELTeC edition	Le Rouge, Gustave 
FRA0775	FRA0775_Rolland	La foire sur la place : ELTeC edition	Rolland, Romain 
FRA0042	FRA0042_Flaubert	Salammbô : ELTeC edition	Flaubert, Gustave 
FRA0345	FRA0345_Dombre	La Nounou : ELTeC edition	Dombre, Roger  
FRA0658	FRA0658_Ohnet	Le Marchand de Poison : ELTeC edition	Ohnet, Georges 
FRA0605	FRA0605_Feval	Le Cavalier Fortune : ELTeC edition	Féval, Paul Henri Corentin  
FRA0087	FRA0087_Verne	Un capitaine de quinze ans : ELTeC edition	Verne, Jules 
FRA1184	FRA1184_Boisgobey	Rubis sur l'ongle : ELTeC edition	Boisgobey, Fortuné du 
FRA1155	FRA1155_Gaboriau	Le crime d'Orcival : ELTeC edition	Gaboriau, Émile 
FRA0370	FRA0370_Gouraud	Les Filles du professeur : ELTeC edition	"Gouraud, Julie  
        "
FRA0409	FRA0409_Malot	Romain Kalbris : ELTeC edition	Malot, Hector 
FRA0657	FRA0657_Ohnet	L'Âme de Pierre : ELTeC edition	Ohnet, Georges 
FRA0175	FRA0175_Verne	Le Secret de Wilhelm Storitz : ELTeC edition	Verne, Jules 
FRA2001	FRA2001_Rattazzi	Le piège aux maris : ELTeC edition	Rattazzi, Marie 
FRA0415	FRA0415_Malot	Conscience : ELTeC edition	Malot, Hector 
FRA0771	FRA0771_Rolland	L'aube : ELTeC edition	Rolland, Romain 
FRA0052	FRA0052_Maupassant	Bel-Ami : ELTeC edition	Maupassant, Guy de 
FRA0607	FRA0607_Feval	Les Errants de nuit : ELTeC edition	Féval, Paul Henri Corentin  
FRA0049	FRA0049_Loti	Ramuntcho : ELTeC edition	Loti, Pierre 
FRA0012	FRA0012_Ponson	La fée d’Auteuil : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA0369	FRA0369_Gouraud	Quand je serai grande : ELTeC edition	Gouraud, Julie  
FRA0056	FRA0056_Maupassant	Une Vie : ELTeC edition	Maupassant, Guy de 
FRA0482	FRA0482_Stolz	Le Secret de Laurent : ELTeC edition	Stolz, Madame de  
FRA1158	FRA1158_Gaboriau	Monsieur Lecoq : ELTeC edition	Gaboriau, Émile 
FRA0086	FRA0086_Verne	Voyages et aventures du Capitaine Hatteras : ELTeC edition	Verne, Jules 
FRA0027	FRA0027_Erckmann	Une campagne en Kabylie : Récit d'un chasseur d'Afrique : ELTeC edition	Erckmann, Émile 
FRA0322	FRA0322_Allais	Le Captain Cap : ELTeC edition	Allais, Alphone 
FRA0038	FRA0038_Erckmann	Waterloo : ELTeC edition	Erckmann, Émile 
FRA0311	FRA0311_Aimard	Belle rivière : ELTeC edition	Aimard, Gustave 
FRA0010	FRA0010_Ponson	La baronne trépassée : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA0780	FRA0780_Rolland	La nouvelle journée : ELTeC edition	Rolland, Romain 
FRA0426	FRA0426_Mirbeau	La Maréchale : ELTeC edition	Mirbeau, Octave 
FRA0350	FRA0350_Fleuriot	Alberte : ELTeC edition	Fleuriot, Zénaïde 
FRA0458	FRA0458_Sand	Le dernier amour : ELTeC edition	Sand, George  
FRA0726	FRA0726_Gay	Ellenore : ELTeC edition	Gay, Marie Françoise Sophie 
FRA0037	FRA0037_Erckmann	Madame Thérèse, ou les volontaires de 92 : ELTeC edition	Erckmann, Émile 
FRA0043	FRA0043_Loti	Aziyadé : Extrait des notes et lettres d'un lieutenant de la marine anglaise  : ELTeC edition	Loti, Pierre 
FRA1177	FRA1177_Ponson	La résurrection de Rocambole : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA0410	FRA0410_Malot	Sans famille : ELTeC edition	Malot, Hector 
FRA0053	FRA0053_Maupassant	Fort comme la mort : ELTeC edition	Maupassant, Guy de 
FRA0206	FRA0206_Audoux	Marie-Claire : ELTeC edition	Audoux, Marguerite 
FRA0379	FRA0379_Gouraud	Le petit colporteur : ELTeC edition	Gouraud, Julie  
FRA0570	FRA0570_Balzac	Le cousin Pons : ELTeC edition	Balzac, Honoré de 
FRA0144	FRA0144_Mirbeau	Le Jardin des supplices : ELTeC edition	Mirbeau, Octave 
FRA0344	FRA0344_Dombre	Folla : ELTeC edition	Dombre, Roger  
FRA1021	FRA1021_Gaboriau	L'Argent des autres : ELTeC edition	Gaboriau, Émile 
FRA1005	FRA1005_Boisgobey	Le crime de l'omnibus : ELTeC edition	Boisgobey, Fortuné du 
FRA0021	FRA0021_Daudet	Port-Tarascon : Dernières aventures de l'illustre Tartarin : ELTeC edition	Daudet, Alphonse 
FRA0480	FRA0480_Stolz	La Maison blanche : ELTeC edition	Stolz, Madame de  
FRA0347	FRA0347_Fleuriot	Un enfant gâté : ELTeC edition	Fleuriot, Zénaïde 
FRA0572	FRA0572_Balzac	Le curé de village : ELTeC edition	Balzac, Honoré de 
FRA0562	FRA0562_Balzac	Albert Savarus : ELTeC edition	Balzac, Honoré de 
FRA0301	FRA0301_Aimard	Les Bandits de l'Arizona : ELTeC edition	Aimard, Gustave 
FRA0040	FRA0040_Flaubert	Madame Bovary : ELTeC edition	Flaubert, Gustave 
FRA0020	FRA0020_Daudet	Le petit chose : ELTeC edition	Daudet, Alphonse 
FRA0445	FRA0445_Sand	Nanon : ELTeC edition	Sand, George  
FRA0019	FRA0019_Daudet	Numa Roumestan : Mœurs Parisiennes : ELTeC edition	Daudet, Alphonse 
FRA0148	FRA0148_Mirbeau	L'abbé Jules : ELTeC edition	Mirbeau, Octave 
FRA0302	FRA0302_Aimard	Les Trappeurs de l'Arkansas : ELTeC edition	Aimard, Gustave 
FRA0656	FRA0656_Ohnet	La Grande Marnière : ELTeC edition	Ohnet, Georges 
FRA1003	FRA1003_Boisgobey	Double-blanc : ELTeC edition	Boisgobey, Fortuné du 
FRA2002	FRA2002_Greville	La seconde mère : ELTeC edition	Gréville, Henry  
FRA0476	FRA0476_Stolz	La Maison roulante : ELTeC edition	Stolz, Madame de  
FRA0348	FRA0348_Fleuriot	En congé : ELTeC edition	Fleuriot, Zénaïde 
FRA0041	FRA0041_Flaubert	L'Éducation sentimentale : ELTeC edition	Flaubert, Gustave 
FRA0474	FRA0474_Sand	Le Compagnon du Tour de France : ELTeC edition	Sand, George  
FRA0392	FRA0392_LeRouge	L'Esclave amoureuse : ELTeC edition	Le Rouge, Gustave 
FRA0047	FRA0047_Loti	Mon frère Yves : ELTeC edition	Loti, Pierre 
FRA0851	FRA0851_Proust	Du côté de chez Swann : ELTeC edition	Proust, Marcel 
FRA0615	FRA0615_Feval	le Loup blanc : ELTeC edition	Féval, Paul Henri Corentin  
FRA0343	FRA0343_Dombre	Une pupille gênante : ELTeC edition	Dombre, Roger  
FRA0397	FRA0397_LeRouge	La Conspiration des Milliardaires : ELTeC edition	Le Rouge, Gustave 
