,FRA0010,FRA0012,FRA0019,FRA0020,FRA0021,FRA0027,FRA0037,FRA0038,FRA0040,FRA0041,FRA0042,FRA0043,FRA0047,FRA0049,FRA0052,FRA0053,FRA0056,FRA0086,FRA0087,FRA0144,FRA0148,FRA0175,FRA0301,FRA0302,FRA0311,FRA0343,FRA0344,FRA0345,FRA0347,FRA0348,FRA0350,FRA0369,FRA0370,FRA0379,FRA0384,FRA0392,FRA0397,FRA0409,FRA0410,FRA0415,FRA0426,FRA0445,FRA0458,FRA0474,FRA0476,FRA0480,FRA0482,FRA0562,FRA0570,FRA0572,FRA0605,FRA0607,FRA0615,FRA0656,FRA0657,FRA0658,FRA0726,FRA0771,FRA0775,FRA0780,FRA0851,FRA1003,FRA1005,FRA1021,FRA1155,FRA1158,FRA1177,FRA1184,FRA2001,FRA2002
0,0,0,4,16,1,2,0,13,29,21,0,2,1,6,3,2,10,4,6,1,3,3,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,3,7,1,0,0,0,3,0,0,0,7,28,22,2,1,4,4,0,2,0,0,0,0,7,0,0,0,1,3,0,0,1,1
1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
