xml:id,total_counts,canon_counts,canon_status,author,title,
FRA0040,1068,175,high,Flaubert,Madame Bovary : ELTeC edition,
FRA0041,710,104,high,Flaubert,L'Éducation sentimentale : ELTeC edition,
FRA0042,524,59,high,Flaubert,Salammbô : ELTeC edition,
FRA0056,468,95,high,Maupassant,Une Vie : ELTeC edition,
FRA0570,438,23,high,Balzac,Le cousin Pons : ELTeC edition,
FRA0410,412,80,high,Malot,Sans famille : ELTeC edition,
FRA0572,382,22,high,Balzac,Le curé de village : ELTeC edition,
FRA0851,352,56,high,Proust,Du côté de chez Swann : ELTeC edition,
FRA0562,302,20,high,Balzac,Albert Savarus : ELTeC edition,
FRA0020,290,28,high,Daudet,Le petit chose : ELTeC edition,
FRA0052,252,47,high,Maupassant,Bel-Ami : ELTeC edition,
FRA0038,174,14,high,Erckmann,Waterloo : ELTeC edition,
FRA0053,126,15,high,Maupassant,Fort comme la mort : ELTeC edition,
FRA0771,104,4,high,Rolland,L'aube : ELTeC edition,
FRA0775,104,3,high,Rolland,La foire sur la place : ELTeC edition,
FRA0087,96,17,high,Verne,Un capitaine de quinze ans : ELTeC edition,
FRA0474,96,11,high,Sand,Le Compagnon du Tour de France : ELTeC edition,
FRA0086,92,27,high,Verne,Voyages et aventures du Capitaine Hatteras : ELTeC edition,
FRA0780,78,3,high,Rolland,La nouvelle journée : ELTeC edition,
FRA0049,76,7,high,Loti,Ramuntcho : ELTeC edition,
FRA0175,68,19,high,Verne,Le Secret de Wilhelm Storitz : ELTeC edition,
FRA1177,68,10,high,Ponson du Terrail,La résurrection de Rocambole : ELTeC edition,
FRA0043,68,8,high,Loti,Aziyadé : Extrait des notes et lettres d'un lieutenant de la marine anglaise  : ELTeC edition,
FRA0047,58,6,high,Loti,Mon frère Yves : ELTeC edition,
FRA0144,56,8,high,Mirbeau,Le Jardin des supplices : ELTeC edition,
FRA0037,50,2,high,Erckmann,Madame Thérèse, ou les volontaires de 92 : ELTeC edition
FRA0409,48,3,high,Malot,Romain Kalbris : ELTeC edition,
FRA0019,46,1,low,Daudet,Numa Roumestan : Mœurs Parisiennes : ELTeC edition,
FRA0206,44,9,high,Audoux,Marie-Claire : ELTeC edition,
FRA1158,44,6,high,Gaboriau,Monsieur Lecoq : ELTeC edition,
FRA0302,44,1,low,Aimard,Les Trappeurs de l'Arkansas : ELTeC edition,
FRA0615,38,6,high,Féval,le Loup blanc : ELTeC edition,
FRA0021,34,1,low,Daudet,Port-Tarascon : Dernières aventures de l'illustre Tartarin : ELTeC edition,
FRA0148,32,7,high,Mirbeau,L'abbé Jules : ELTeC edition,
FRA0445,32,7,high,Sand,Nanon : ELTeC edition,
FRA1021,32,3,high,Gaboriau,L'Argent des autres : ELTeC edition,
FRA0322,32,1,low,Allais,Le Captain Cap : ELTeC edition,
FRA0656,32,1,low,Ohnet,La Grande Marnière : ELTeC edition,
FRA0607,32,0,low,Féval,Les Errants de nuit : ELTeC edition,
FRA0458,28,8,high,Sand,Le dernier amour : ELTeC edition,
FRA2001,24,0,low,Rattazzi,Le piège aux maris : ELTeC edition,
FRA0726,22,0,low,Gay,Ellenore : ELTeC edition,
FRA0301,20,3,high,Aimard,Les Bandits de l'Arizona : ELTeC edition,
FRA0311,20,1,low,Aimard,Belle rivière : ELTeC edition,
FRA0027,20,0,low,Erckmann,Une campagne en Kabylie : Récit d'un chasseur d'Afrique : ELTeC edition,
FRA0657,20,0,low,Ohnet,L'Âme de Pierre : ELTeC edition,
FRA1155,18,0,low,Gaboriau,Le crime d'Orcival : ELTeC edition,
FRA0347,16,0,low,Fleuriot,Un enfant gâté : ELTeC edition,
FRA0605,14,1,low,Féval,Le Cavalier Fortune : ELTeC edition,
FRA0010,12,2,high,Ponson du Terrail,La baronne trépassée : ELTeC edition,
FRA0415,12,0,low,Malot,Conscience : ELTeC edition,
FRA0476,12,0,low,Stolz,La Maison roulante : ELTeC edition,
FRA0384,10,4,high,Le Rouge,La Guerre des vampires : ELTeC edition,
FRA0658,10,0,low,Ohnet,Le Marchand de Poison : ELTeC edition,
FRA0426,8,4,high,Mirbeau,La Maréchale : ELTeC edition,
FRA1003,8,1,low,Boisgobey,Double-blanc : ELTeC edition,
FRA0343,8,0,low,Dombre,Une pupille gênante : ELTeC edition,
FRA0397,6,3,high,Le Rouge,La Conspiration des Milliardaires : ELTeC edition,
FRA0344,6,0,low,Dombre,Folla : ELTeC edition,
FRA0348,6,0,low,Fleuriot,En congé : ELTeC edition,
FRA0482,6,0,low,Stolz,Le Secret de Laurent : ELTeC edition,
FRA1184,6,0,low,Boisgobey,Rubis sur l'ongle : ELTeC edition,
FRA0012,4,0,low,Ponson du Terrail,La fée d’Auteuil : ELTeC edition,
FRA0345,4,0,low,Dombre,La Nounou : ELTeC edition,
FRA0379,4,0,low,Gouraud,Le petit colporteur : ELTeC edition,
FRA0480,4,0,low,Stolz,La Maison blanche : ELTeC edition,
FRA1005,4,0,low,Boisgobey,Le crime de l'omnibus : ELTeC edition,
FRA2002,4,0,low,Gréville,La seconde mère : ELTeC edition,
FRA0392,2,1,low,Le Rouge,L'Esclave amoureuse : ELTeC edition,
FRA0350,2,0,low,Fleuriot,Alberte : ELTeC edition,
FRA0369,2,0,low,Gouraud,Quand je serai grande : ELTeC edition,
FRA0370,2,0,low,Gouraud,Les Filles du professeur : ELTeC edition,
