,filename,xmlid,au-name,title,au-birth,au-death,au-gender,au-ids,first-ed,title-ids,sizeCat,canonicity,time-slot,numwords,language
0,FRA0384_LeRouge,FRA0384,"Le Rouge, Gustave",La Guerre des vampires : ELTeC edition,1867,1938,M,viaf:7392910,NA,viaf:8889151656380608400006,medium,high,T4,73470,fra
1,FRA0775_Rolland,FRA0775,"Rolland, Romain","Jean-Christophe, tome 5 : La foire sur la place : ELTeC edition",1866,1944,M,viaf:71397100,NA,viaf:312469772,medium,medium,T4,69465,fra
2,FRA0042_Flaubert,FRA0042,"Flaubert, Gustave",Sallambô : ELTeC edition,1821,1880,M,viaf:9846192,NA,viaf:316310961,long,medium,T2,105395,fra
3,FRA0345_Dombre,FRA0345,"Dombre, Roger",La Nounou : ELTeC edition,1859,1914,F,viaf:37053113,NA,oclc:457907781 viaf:unavailable,short,low,T3,40970,fra
4,FRA0658_Ohnet,FRA0658,"Ohnet, Georges",Le Marchand de Poison : ELTeC edition,1848,1918,M,viaf:66497284,NA,viaf:308106335,medium,low,T3,50561,fra
5,FRA0605_Feval,FRA0605,"Féval, Paul Henri Corentin",Le Cavalier Fortune : ELTeC edition,1816,1887,M,viaf:17222447,NA,viaf:unavailable,long,low,T2,136999,fra
6,FRA0087_Verne,FRA0087,"Verne, Jules",Un capitaine de quinze ans : ELTeC edition,1828,1905,M,viaf:76323989,NA,viaf:183081330,long,high,T2,124725,fra
7,FRA1184_Boisgobey,FRA1184,"Boisgobey, Fortuné du",Rubis sur l'ongle : ELTeC edition,1821,1891,M,viaf:19720225,NA,viaf:315021495,long,low,T3,104131,fra
8,FRA1155_Gaboriau,FRA1155,"Gaboriau, Émile",Le crime d'Orcival : ELTeC edition,1832,1873,M,viaf:100177491,NA,viaf:312348929,long,low,T2,127326,fra
9,FRA0370_Gouraud,FRA0370,"Gouraud, Julie",Les Filles du professeur : ELTeC edition,1810,1891,M,viaf:31987653,NA,viaf:unavailable,short,low,T2,45439,fra
10,FRA0409_Malot,FRA0409,"Malot, Hector",Romain Kalbris : ELTeC edition,1830,1907,M,viaf:49228546,NA,viaf:312349317,medium,high,T2,70236,fra
11,FRA0657_Ohnet,FRA0657,"Ohnet, Georges",L'Âme de Pierre : ELTeC edition,1848,1918,M,viaf:66497284,NA,viaf:309283895,medium,low,T3,53382,fra
12,FRA0175_Verne,FRA0175,"Verne, Jules",Le Secret de Wilhelm Storitz : ELTeC edition,1828,1905,M,viaf:76323989,NA,viaf:183647198,medium,high,T3,55614,fra
13,FRA2001_Rattazzi,FRA2001,"Rattazzi, Marie",Le piège aux maris : ELTeC edition,1831,1902,F,viaf:30341384,NA,viaf:missing,medium,low,T2,53880,fra
14,FRA0415_Malot,FRA0415,"Malot, Hector",Conscience : ELTeC edition,1830,1907,M,viaf:49228546,NA,viaf:310221173,long,low,T3,101840,fra
15,FRA0771_Rolland,FRA0771,Romain Rolland,"Jean-Christophe, tome 1 : L'aube : ELTeC edition",1866,1944,M,viaf:71397100,NA,viaf:312469768,short,medium,T4,41108,fra
16,FRA0052_Maupassant,FRA0052,"Maupassant, Guy de",Bel-Ami : ELTeC edition,1850,1893,M,viaf:29537765,NA,viaf:174771837,long,high,T3,111187,fra
17,FRA0607_Feval,FRA0607,"Féval, Paul Henri Corentin",Les Errants de nuit : ELTeC edition,1816,1887,M,viaf:17222447,NA,viaf:unavailable,long,low,T1,103086,fra
18,FRA0049_Loti,FRA0049,"Loti, Pierre",Ramuntcho : ELTeC edition,1850,1923,M,viaf:89440078,NA,viaf:185706732,medium,high,T3,57948,fra
19,FRA0012_Ponson,FRA0012,"Ponson du Terrail, Pierre Alexis",La fée d’Auteuil : ELTeC edition,1829,1871,M,viaf:17228199,NA,viaf:missing,medium,low,T2,64938,fra
20,FRA0369_Gouraud,FRA0369,"Gouraud, Julie",Quand je serai grande : ELTeC edition,1810,1891,M,viaf:31987653,NA,oclc:559725443 viaf:unavailable,short,low,T3,45701,fra
21,FRA0056_Maupassant,FRA0056,"Maupassant, Guy de",Une Vie : ELTeC edition,1850,1893,M,viaf:29537765,NA,viaf:204219240,medium,high,T3,77338,fra
22,FRA0482_Stolz,FRA0482,"Stolz, Madame de",Le Secret de Laurent : ELTeC edition,1820,1898,F,viaf:19850120 wikidata:Q3275360,NA,viaf:unavailable,short,low,T2,49150,fra
23,FRA1158_Gaboriau,FRA1158,"Gaboriau, Émile",Monsieur Lecoq : ELTeC edition,1832,1873,M,viaf:100177491,NA,viaf:310914713,long,high,T2,269763,fra
24,FRA0086_Verne,FRA0086,"Verne, Jules",Voyages et aventures du Capitaine Hatteras : ELTeC edition,1828,1905,M,viaf:76323989,NA,viaf:176496719,long,high,T2,144174,fra
25,FRA0027_Erckmann,FRA0027,"Erckmann, Émile",Une campagne en Kabylie : Récit d'un chasseur d'Afrique : ELTeC edition,1822,1899,M,viaf:31995972,NA,viaf:317259748,short,high,T2,23489,fra
26,FRA0038_Erckmann,FRA0038,"Erckmann, Émile",Waterloo : ELTeC edition,1822,1899,M,viaf:31995972,NA,viaf:182215847,medium,high,T2,81303,fra
27,FRA0311_Aimard,FRA0311,"Aimard, Gustave",Belle rivière : ELTeC edition,1818,1883,M,viaf:9841962,NA,viaf:309355943,long,low,T2,139255,fra
28,FRA0010_Ponson,FRA0010,"Ponson du Terrail, Pierre Alexis",La baronne trépassée : ELTeC edition,1829,1871,M,viaf:17228199,NA,viaf:missing,medium,high,T1,61779,fra
29,FRA0780_Rolland,FRA0780,"Rolland, Romain","Jean-Christophe, tome 10 : La nouvelle journée : ELTeC edition",1866,1944,M,viaf:71397100,NA,viaf:312469774,medium,medium,T4,59882,fra
30,FRA0426_Mirbeau,FRA0426,"Mirbeau, Octave",La Maréchale : ELTeC edition,1848,1917,M,viaf:100204602,NA,viaf:unvailable,medium,high,T3,60935,fra
31,FRA0350_Fleuriot,FRA0350,"Fleuriot, Zénaïde",Alberte : ELTeC edition,1829,1890,F,viaf:41872490,NA,viaf:unavailable worldcat:944664084,medium,low,T3,64184,fra
32,FRA0458_Sand,FRA0458,"Sand, George",Le dernier amour : ELTeC edition,1804,1876,F,viaf:46766944,NA,viaf:310216093,medium,high,T2,88165,fra
33,FRA0726_Gay,FRA0726,"Gay, Marie Françoise Sophie",Ellenore : ELTeC edition,1776,1852,F,viaf:27059297,NA,viaf:unavailable,long,low,T1,188985,fra
34,FRA0037_Erckmann,FRA0037,"Erckmann, Émile","Madame Thérèse, ou les volontaires de 92 : ELTeC edition",1822,1899,M,viaf:31995972,NA,viaf:209896303,medium,high,T2,58842,fra
35,FRA0043_Loti,FRA0043,"Loti, Pierre",Aziyadé : Extrait des notes et lettres d'un lieutenant de la marine anglaise ,1850,1923,M,viaf:89440078,NA,viaf:185695658,medium,high,T2,53825,fra
36,FRA1177_Ponson,FRA1177,"Ponson du Terrail, Pierre Alexis","La résurrection de Rocambole, tome 2: Saint-Lazare - L'auberge maudite - La maison de fous : ELTeC edition",1829,1871,M,viaf:17228199,NA,viaf:294264533,long,low,T2,173240,fra
37,FRA0410_Malot,FRA0410,"Malot, Hector",Sans famille : ELTeC edition,1830,1907,M,viaf:49228546,NA,viaf:186540937,long,high,T2,123735,fra
38,FRA0053_Maupassant,FRA0053,"Maupassant, Guy de",Fort comme la mort : ELTeC edition,1850,1893,M,viaf:29537765,NA,viaf:191941628,medium,high,T3,75586,fra
39,FRA0379_Gouraud,FRA0379,"Gouraud, Julie",Le petit colporteur : ELTeC edition,1810,1891,M,viaf:31987653,NA,viaf:314022921,short,low,T2,43343,fra
40,FRA0570_Balzac,FRA0570,"Balzac, Honoré de",Le cousin Pons : ELTeC edition,1799,1850,M,viaf:29529595,NA,viaf:174988989,long,high,T1,111047,fra
41,FRA0144_Mirbeau,FRA0144,"Mirbeau, Octave",Le Jardin des supplices : ELTeC edition,1848,1917,M,viaf:100204602,NA,viaf:293386073,medium,high,T3,64881,fra
42,FRA0344_Dombre,FRA0344,"Dombre, Roger",Folla : ELTeC edition,1859,1914,F,viaf:37053113,NA,oclc:465119441 viaf:unavailable,short,low,T3,24998,fra
43,FRA1021_Gaboriau,FRA1021,"Gaboriau, Émile","L'Argent des autres (1: Les hommes de paille, 2: La pêche en eau trouble) : ELTeC edition",1832,1873,M,viaf:100177491,NA,viaf:312338404,long,medium,T2,173622,fra
44,FRA1005_Boisgobey,FRA1005,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,1821,1891,M,viaf:19720225,NA,viaf:308091446,medium,low,T3,93657,fra
45,FRA0021_Daudet,FRA0021,"Daudet, Alphonse",Port-Tarascon : Dernières aventures de l'illustre Tartarin : ELTeC edition,1840,1897,M,viaf:4928621,NA,viaf:179981155,short,low,T3,46932,fra
46,FRA0480_Stolz,FRA0480,"Stolz, Madame de",La Maison blanche : ELTeC edition,1820,1898,F,viaf:19850120 wikidata:Q3275360,NA,viaf:unavailable,medium,low,T3,52128,fra
47,FRA0347_Fleuriot,FRA0347,"Fleuriot, Zénaïde",Un enfant gâté : ELTeC edition,1829,1890,F,viaf:41872490,NA,viaf:309349545,short,low,T2,35076,fra
48,FRA0572_Balzac,FRA0572,"Balzac, Honoré de",Le curé de village : ELTeC edition,1799,1850,M,viaf:29529595,NA,viaf:177407570,medium,high,T1,93200,fra
49,FRA0562_Balzac,FRA0562,"Balzac, Honoré de",Albert Savarus : ELTeC edition,1799,1850,M,viaf:29529595,NA,viaf:174178728,short,high,T1,42271,fra
50,FRA0301_Aimard,FRA0301,"Aimard, Gustave",Les Bandits d'Arizona : ELTeC edition,1818,1883,M,viaf:9841962,NA,viaf:307977755,medium,low,T3,72134,fra
51,FRA0040_Flaubert,FRA0040,"Flaubert, Gustave",Madame Bovary : ELTeC edition,1821,1880,M,viaf:9846192,NA,viaf:186570439,long,high,T1,120122,fra
52,FRA0020_Daudet,FRA0020,"Daudet, Alphonse",Le petit chose : ELTeC edition,1840,1897,M,viaf:4928621,NA,viaf:184784857,medium,high,T2,87744,fra
53,FRA0445_Sand,FRA0445,"Sand, George",Nanon : ELTeC edition,1804,1876,F,viaf:46766944,NA,viaf:204615801,long,high,T2,101840,fra
54,FRA0019_Daudet,FRA0019,"Daudet, Alphonse",Numa Roumestan : Mœurs Parisiennes : ELTeC edition,1840,1897,M,viaf:4928621,NA,viaf:287900644,medium,low,T3,85692,fra
55,FRA0148_Mirbeau,FRA0148,"Mirbeau, Octave",L'abbé Jules : ELTeC edition,1848,1917,M,viaf:100204602,NA,viaf:310534644 ,medium,high,T3,78132,fra
56,FRA0302_Aimard,FRA0302,"Aimard, Gustave",Les Trappeurs d'Arkansas : ELTeC edition,1818,1883,M,viaf:9841962,NA,viaf:309322317,medium,low,T1,90166,fra
57,FRA0656_Ohnet,FRA0656,"Ohnet, Georges",La Grande Marnière : ELTeC edition,1848,1918,M,viaf:66497284,NA,viaf:309268283,long,low,T3,115269,fra
58,FRA1003_Boisgobey,FRA1003,"Boisgobey, Fortuné du",Double-blanc : ELTeC edition,1821,1891,M,viaf:19720225,NA,viaf:unavailable,long,low,T3,125052,fra
59,FRA2002_Greville,FRA2002,"Gréville, Henry",La seconde mère : ELTeC edition,1842,1902,F,viaf:49258322,NA,viaf:missing,medium,low,T3,56950,fra
60,FRA0476_Stolz,FRA0476,"Stolz, Madame de",La Maison roulante : ELTeC edition,1820,1898,F,viaf:19850120 wikidata:Q3275360,NA,viaf:309282062,medium,low,T2,52092,fra
61,FRA0348_Fleuriot,FRA0348,"Fleuriot, Zénaïde",En congé : ELTeC edition,1829,1890,F,viaf:41872490,NA,oclc:561075297 viaf:unavailable,short,low,T2,38021,fra
62,FRA0041_Flaubert,FRA0041,"Flaubert, Gustave",L'Éducation sentimentale : ELTeC edition,1821,1880,M,viaf:9846192,NA,viaf:180462896,long,high,T2,149810,fra
63,FRA0474_Sand,FRA0474,"Sand, George",Le Compagnon du Tour de France : ELTeC edition,1804,1876,F,viaf:46766944,NA,viaf:194896547,medium,high,T1,89027,fra
64,FRA0392_LeRouge,FRA0392,"Le Rouge, Gustave",L'Esclave amoureuse : ELTeC edition,1867,1938,M,viaf:7392910,NA,viaf:unavailable,short,low,T4,25038,fra
65,FRA0047_Loti,FRA0047,"Loti, Pierre",Mon frère Yves : ELTeC edition,1850,1923,M,viaf:89440078,NA,viaf:294701732,medium,high,T3,73698,fra
66,FRA0851_Proust,FRA0851,"Proust, Marcel",Du côté de chez Swann : ELTeC edition,1871,1922,M,viaf:32001793,NA,viaf:316309707,long,high,T4,181506,fra
67,FRA0615_Feval,FRA0615,"Féval, Paul Henri Corentin",le Loup blanc : ELTeC edition,1816,1887,M,viaf:17222447,NA,viaf:312363135,medium,high,T1,80151,fra
68,FRA0343_Dombre,FRA0343,"Dombre, Roger",Une pupille gênante : ELTeC edition,1859,1914,F,viaf:37053113,NA,oclc:457908349 viaf:unavailable,medium,low,T3,50336,fra
69,FRA0397_LeRouge,FRA0397,"Le Rouge, Gustave","La Conspiration des Milliardaires, III: Le Régiment des hypnotiseurs : ELTeC edition",1867,1938,M,viaf:7392910,NA,viaf:unavailable,medium,medium,T4,76669,fra
